count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score,label,chain_4755,chain_bash,chain_bin,chain_cat,chain_chmod,chain_chown,chain_cp,chain_etc,chain_head,chain_hidden_bash,chain_la,chain_ls,chain_root,chain_sh,chain_shadow,chain_sudo,chain_suid_privillege_escalation,chain_tmp
4,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.084190042444513,4.183302716945004,suspicious,0.14430282085507715,0.13080899359097195,0.13080899359097195,0.2886056417101543,0.14430282085507715,0.11978373393452714,0.13080899359097195,0.2886056417101543,0.2886056417101543,0.3893403899510957,0.16169938987883514,0.16169938987883514,0.23956746786905428,0.16169938987883514,0.2886056417101543,0.30716149473230747,0.16169938987883514,0.3893403899510957
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7180360106259043,1.8514452984087768,suspicious,0.0,0.5192638291173061,0.5192638291173061,0.0,0.0,0.0,0.5192638291173061,0.0,0.0,0.3091077702932259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3091077702932259
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.834945381376392,2.992099316885591,suspicious,0.0,0.0,0.0,0.0,0.0,0.33772042439482214,0.0,0.0,0.0,0.21954266645285914,0.0,0.0,0.6754408487896443,0.0,0.0,0.5773444465364186,0.0,0.21954266645285914
0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8536008989549817,3.7938429010636594,suspicious,0.0,0.0,0.0,0.0,0.0,0.4136192720552145,0.0,0.0,0.0,0.26888239894289495,0.0,0.0,0.827238544110429,0.0,0.0,0.0,0.0,0.26888239894289495
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.8496016974662117,2.9924669907524724,suspicious,0.46645012796619767,0.0,0.0,0.0,0.46645012796619767,0.0,0.0,0.0,0.0,0.25170384561988024,0.0,0.0,0.0,0.0,0.0,0.661920617930098,0.0,0.25170384561988024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.866401231246846,1.861472177334094,suspicious,0.6222870105283747,0.0,0.0,0.0,0.6222870105283747,0.0,0.0,0.0,0.0,0.33579588521549614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33579588521549614
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7497718327190115,1.8539336218792248,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3067949571849195,0.6370846523389991,0.6370846523389991,0.0,0.0,0.0,0.0,0.0,0.3067949571849195
0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.692005519948607,3.3791563448346915,suspicious,0.0,0.0,0.0,0.491141565614036,0.0,0.0,0.0,0.491141565614036,0.491141565614036,0.13251386739653778,0.0,0.0,0.0,0.0,0.491141565614036,0.0,0.0,0.13251386739653778
