count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,risk_score,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,label,chain_2216,chain_2292,chain_ascii,chain_bash,chain_bin,chain_core22,chain_cron,chain_cut,chain_etc,chain_execve,chain_file,chain_grep,chain_lib,chain_linux,chain_objdump,chain_sbin,chain_snap,chain_strings,chain_system,chain_usr
4,1,0,0,0,0,368,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,368,368,368,0,0,0,0,0,0,0,368,0,368,0,0,0,368,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7.71077428392713,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582689081239757,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4.101320175958526,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3784364357202451,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198026272961797,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009950330853168,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3929,0,0,0,0,0,0,0,0,0,0,9.66616771881242,0.0,0.0,0.0,0.0,0.0,3.1792938428684243,suspicious,0.1458160529990396,0.1458160529990396,0.108276878311143,0.2553019800377361,0.522936262194319,0.25210392202723525,0.09028131492939395,0.15530168575157524,0.17086958497995694,0.07341278576795547,0.31791934482846246,0.20754241728196798,0.17756006849187647,0.01805626298587879,0.1761828131679362,0.04642423310547162,0.25210392202723525,0.215306750755645,0.07769250836837518,0.38929833786274864
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3.113329577330158,0.0,0.0,0.0,0.0,0.0,2.971642841509657,suspicious,0.0,0.0,0.26369128199916714,0.2526410201211149,0.28145387844095504,0.0,0.0,0.26013660427766255,0.0,0.0,0.5273825639983343,0.2391496582855046,0.0,0.6200218998613666,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.350977218028299,0.0,0.0,0.0,0.0,0.0,2.971642841509657,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39136939336952753,0.0,0.0,0.9202336648555995,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.765717561866245,0.0,0.0,0.0,0.0,0.0,1.6915311038142788,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.808977893292244,0.0,0.0,0.0,0.0,0.0,2.2084101872685253,suspicious,0.0,0.0,0.7407360916582394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717961316611434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3.1067985478596887,0.0,0.0,0.0,0.0,0.0,2.6787585552044875,suspicious,0.0,0.0,0.21537936938711913,0.10317683463493507,0.11494380548076527,0.0,0.5064252590602006,0.21247595809408093,0.7372909368102788,0.0,0.21537936938711913,0.19533411267968917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.334060667271367,0.0,0.0,0.0,0.0,0.0,2.6195233704818697,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.5504450885796123,0.0,0.8013782246458518,0.0,0.23410071662010207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.808977893292244,0.0,0.0,0.0,0.0,0.0,2.2084101872685253,suspicious,0.0,0.0,0.7407360916582394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717961316611434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.765717561866245,0.0,0.0,0.0,0.0,0.0,1.6915311038142788,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3.273923180751842,0.0,0.0,0.0,0.0,0.0,2.7895324637306023,suspicious,0.0,0.0,0.2798547382044601,0.1340635648051604,0.14935306330675768,0.0,0.658027315697463,0.2760821697842571,0.4790021502261433,0.0,0.2798547382044601,0.2538087892165785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2.66825311395334,0.0,0.0,0.0,0.0,0.0,2.7895324637306023,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.7645478431184264,0.0,0.5565423380886835,0.0,0.3251572258119812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.765717561866245,0.0,0.0,0.0,0.0,0.0,1.6915311038142788,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
