count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score,label,chain_12,chain_168,chain_192,chain_60,chain_cat,chain_dir,chain_exclude,chain_grep,chain_home,chain_key,chain_local,chain_mozilla,chain_nc,chain_npm,chain_password,chain_re,chain_sh,chain_system_maintenance,chain_temp_scan,chain_tmp
0,0,0,8,0,8,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.858999400739174,4.0540345841748975,suspicious,0.0,0.0,0.0,0.0,0.287171187120307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8615135613609209,0.32238846980010044,0.0,0.26719425034810557
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6644977792004616,1.763402670338989,suspicious,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.858999400739174,1.860896728125912,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655931458044634,0.6349547481897498,0.0,0.5262479084711903
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.343767422366671,3.2257276458853577,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,3,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.24509868160094,3.564521551522884,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.343767422366671,3.2257276458853577,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0,0,28,0,44,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,4,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,5.234365582468995,suspicious,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.10829310743941371,0.46733491631299295,0.46733491631299295,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.3248793223182411,0.24314729863664422,0.21658621487882743,0.40303898103842706
2,0,0,10,0,16,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,4.457482440261152,suspicious,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.10829310743941371,0.46733491631299295,0.46733491631299295,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.3248793223182411,0.24314729863664422,0.21658621487882743,0.40303898103842706
1,0,0,6,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1000909583954077,3.991943468322975,suspicious,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.10829310743941371,0.46733491631299295,0.46733491631299295,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.11683372907824824,0.3248793223182411,0.24314729863664422,0.21658621487882743,0.40303898103842706
