event_type,event_type_str,uid,gid,username,groupname,pid,ppid,exit_code,durations_ns,comm,exe,filename,comm_timestamp,mode,mode_transformed,new_mode,new_mode_transformed,is_success,do_not_update_atime,old_uid,new_uid,old_gid,new_gid,old_mtime,new_mtime,old_ctime,new_ctime,old_atime,new_atime,file_type,file_type_new,is_sensitive_file,was_suid_changed,suid_set,suid_cleared,was_sgid_changed,sgid_set,sgid_cleared,was_sticky_changed,sticky_set,sticky_cleared,was_permission_changed,was_owner_changed,was_group_changed,was_creation_time_changed,was_access_time_changed,was_modified_time_changed,was_file_created,was_file_modified,is_target_dir_world_writable,dev_major,dev_major_new,dev_minor,dev_minor_new,rdev_major,rdev_minor,rdev_major_new,rdev_minor_new,is_linked_file_SGID_or_SUID,is_linked_to_sensitive_file,is_cross_user_link,is_symlink,new_filename,was_dir_removed,is_current_dir_world_writable,is_switching_user,is_switching_root,is_changing_password,is_root_command,name,rhost,rname,login_type,is_auth_success,protocol_family,socket_type,protocol,port,ipv4,ipv6,local_socket_port,local_ipv4_socket_addr,local_ipv6_socket_addr,path,peer_pid,peer_uid,peer_gid,backlog,ifindex,kernel_sock,is_important_port,is_sock_success,argv
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3.12,1771585584071093717,294912,0,294912,0,1,1,0,0,0,0,1771585508750374020,1771585508750374020,1771585508750374020,1771585508750374020,1771585508897374379,1771585508897374379,DIR,DIR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3.12,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3/dist-packages,1771585584078550250,294912,0,294912,0,1,1,0,0,0,0,1769115462000000000,1769115462000000000,1771585508795374130,1771585508795374130,1771585508903374393,1771585508903374393,DIR,DIR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3/dist-packages,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/home/stefan/Desktop/malicious_scripts/workspace_container/runner.py,1771585584079591301,32768,0,32768,0,1,0,0,0,0,0,1771585454583241813,1771585454583241813,1771585454585241818,1771585454585241818,1771585454582241811,1771585454582241811,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/home/stefan/Desktop/malicious_scripts/workspace_container/runner.py,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/home/stefan/Desktop/malicious_scripts/workspace_container/runner.py,1771585584079793973,32768,0,32768,0,1,0,0,0,0,0,1771585454583241813,1771585454583241813,1771585454585241818,1771585454585241818,1771585584078557863,1771585584078557863,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/home/stefan/Desktop/malicious_scripts/workspace_container/runner.py,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/home/stefan/Desktop/malicious_scripts/workspace_container,1771585584081155503,100352,4000,100352,4000,1,0,0,0,0,0,1771585454585241818,1771585454585241818,1771585454585241818,1771585454585241818,1771585470631280982,1771585470631280982,DIR,DIR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/home/stefan/Desktop/malicious_scripts/workspace_container,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3.12/re,1771585584089320951,294912,0,294912,0,1,1,0,0,0,0,1771585507182370193,1771585507182370193,1771585507182370193,1771585507182370193,1771585507183370195,1771585507183370195,DIR,DIR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3.12/re,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3.12/collections,1771585584098114729,294912,0,294912,0,1,1,0,0,0,0,1771585507139370088,1771585507139370088,1771585507139370088,1771585507139370088,1771585507173370171,1771585507173370171,DIR,DIR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/3/fs/usr/lib/python3.12/collections,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,811368,806719,0,0,python3,/usr/bin/python3.12,/home/stefan/Desktop/malicious_scripts/workspace_container/filter_logs_2.txt,1771585584099791834,32768,0,32768,0,1,0,0,0,0,0,1771584920523938288,1771584920523938288,1771585359881010670,1771585359881010670,1771584920523938288,1771584920523938288,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/home/stefan/Desktop/malicious_scripts/workspace_container/filter_logs_2.txt,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,1,0,0,0,systemd,/usr/lib/systemd/systemd,/proc/1/mountinfo,1771585584895365628,32768,0,32768,0,1,0,0,0,0,0,1771403493430481823,1771403493430481823,1771403493430481823,1771403493430481823,1771403493430481823,1771403493430481823,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,24,24,0,0,4294967295,4294967295,255,255,255,255,/proc/1/mountinfo,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,885,1,0,0,udisksd,/usr/libexec/udisks2/udisksd,/proc/885/mountinfo,1771585584895622812,32768,0,32768,0,1,0,0,0,0,0,1771403497554482093,1771403497554482093,1771403497554482093,1771403497554482093,1771403497554482093,1771403497554482093,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,24,24,0,0,4294967295,4294967295,255,255,255,255,/proc/885/mountinfo,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,
