event_type,event_type_str,uid,gid,username,groupname,pid,ppid,exit_code,durations_ns,comm,exe,filename,comm_timestamp,mode,mode_transformed,new_mode,new_mode_transformed,is_success,do_not_update_atime,old_uid,new_uid,old_gid,new_gid,old_mtime,new_mtime,old_ctime,new_ctime,old_atime,new_atime,file_type,file_type_new,is_sensitive_file,was_suid_changed,suid_set,suid_cleared,was_sgid_changed,sgid_set,sgid_cleared,was_sticky_changed,sticky_set,sticky_cleared,was_permission_changed,was_owner_changed,was_group_changed,was_creation_time_changed,was_access_time_changed,was_modified_time_changed,was_file_created,was_file_modified,is_target_dir_world_writable,dev_major,dev_major_new,dev_minor,dev_minor_new,rdev_major,rdev_minor,rdev_major_new,rdev_minor_new,is_linked_file_SGID_or_SUID,is_linked_to_sensitive_file,is_cross_user_link,is_symlink,new_filename,was_dir_removed,is_current_dir_world_writable,is_switching_user,is_switching_root,is_changing_password,is_root_command,name,rhost,rname,login_type,is_auth_success,protocol_family,socket_type,protocol,port,ipv4,ipv6,local_socket_port,local_ipv4_socket_addr,local_ipv6_socket_addr,path,peer_pid,peer_uid,peer_gid,backlog,ifindex,kernel_sock,is_important_port,is_sock_success,argv
3,EXECVE_ENTER,0,0,root,root,29638,23460,0,3256628,bash,/usr/bin/bash,./watcher.sh,1772016727052951749,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,./watcher.sh,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"./watcher.sh "
16,SOCKET_CREATION,0,0,root,root,29638,23460,0,8757299,watcher.sh,void,void,1772016727060039930,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,1,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,0,255,1,""
18,SOCKET_CONNECT_OUTBOUND,0,0,root,root,29638,23460,0,8935170,watcher.sh,void,void,1772016727060217756,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,0,0.0.0.0,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,/var/run/nscd/socket,-1,0,0,0,-1,0,255,1,""
16,SOCKET_CREATION,0,0,root,root,29638,23460,0,9214840,watcher.sh,void,void,1772016727060497471,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,1,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,0,255,1,""
18,SOCKET_CONNECT_OUTBOUND,0,0,root,root,29638,23460,0,9360591,watcher.sh,void,void,1772016727060643301,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,0,0.0.0.0,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,/var/run/nscd/socket,-1,0,0,0,-1,0,255,1,""
3,EXECVE_ENTER,0,0,root,root,29639,29638,0,2251909,watcher.sh,void,/usr/bin/mkdir,1772016727066057373,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/mkdir,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"mkdir -p /tmp/.exfil_staging "
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,29639,29638,0,0,mkdir,void,filesystems,1772016727071064394,32768,0000,32768,0000,1, 0,0,0,0,0,1772013604159338306, 1772013604159338306,1772013604159338306, 1772013604159338306,1772013604159338306, 1772013604159338306,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,98,98,0,0,4294967295,4294967295,255,255,255,255,filesystems,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
3,EXECVE_ENTER,0,0,root,root,29642,29641,0,3653608,watcher.sh,void,/usr/bin/ls,1772016727081037416,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/ls,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"ls -1 /home/support_account/important_files "
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,29642,29641,0,0,ls,void,filesystems,1772016727086214085,32768,0000,32768,0000,1, 0,0,0,0,0,1772013604159338306, 1772013604159338306,1772013604159338306, 1772013604159338306,1772013604159338306, 1772013604159338306,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,98,98,0,0,4294967295,4294967295,255,255,255,255,filesystems,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
3,EXECVE_ENTER,0,0,root,root,29643,29641,0,2865113,watcher.sh,void,/usr/bin/wc,1772016727096181514,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/wc,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"wc -l "
